"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","03.01.2021 14:00 - 03.01.2021 15:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","68","2691","n/e","n/e","0","11","n/e","1","n/e","29"
"BZN|NO3","03.01.2021 15:00 - 03.01.2021 16:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","66","2704","n/e","n/e","0","14","n/e","4","n/e","19"
"BZN|NO3","03.01.2021 16:00 - 03.01.2021 17:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","67","2700","n/e","n/e","0","18","n/e","5","n/e","18"
"BZN|NO3","03.01.2021 17:00 - 03.01.2021 18:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","67","2672","n/e","n/e","0","15","n/e","5","n/e","33"
"BZN|NO3","03.01.2021 18:00 - 03.01.2021 19:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","67","2642","n/e","n/e","0","13","n/e","3","n/e","33"
"BZN|NO3","03.01.2021 19:00 - 03.01.2021 20:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","66","2638","n/e","n/e","0","12","n/e","3","n/e","71"
"BZN|NO3","03.01.2021 20:00 - 03.01.2021 21:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","65","2642","n/e","n/e","0","11","n/e","1","n/e","56"
"BZN|NO3","03.01.2021 21:00 - 03.01.2021 22:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","61","2623","n/e","n/e","0","10","n/e","2","n/e","42"
"BZN|NO3","03.01.2021 22:00 - 03.01.2021 23:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","60","2566","n/e","n/e","0","10","n/e","3","n/e","43"
"BZN|NO3","03.01.2021 23:00 - 04.01.2021 00:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","60","2456","n/e","n/e","0","11","n/e","2","n/e","47"
